2021.4.10 11:24:57:848   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.15, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.01, 0.03, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 11:24:57:872   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.15, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.01, 0.03, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:893   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.15, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.01, 0.03, -0.01)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:916   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.70)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(0.00, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:943   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.70)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(-0.01, 0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:961   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.70)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(-0.01, 0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:982   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(-0.01, 0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:58:06   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.00, 0.02, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:58:27   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:58:37   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:58:49   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:58:60   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:58:71   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.02, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:58:96   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.00, -0.01, -0.02)  rightControllerVel:(0.02, -0.03, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:24:58:105   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.00, -0.01, -0.02)  rightControllerVel:(0.02, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:24:58:114   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(0.02, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
