2021.4.10 19:39:52:33   leftController:(0.04, 0.89, -0.28)  rightController:(0.36, 0.96, -0.26)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.43)  leftControllerVel:(-0.13, -0.89, -0.45)  rightControllerVel:(0.11, -1.07, -0.40)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:55   leftController:(0.04, 0.87, -0.29)  rightController:(0.36, 0.94, -0.27)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.43)  leftControllerVel:(-0.14, -0.86, -0.53)  rightControllerVel:(0.14, -1.11, -0.46)  leftTrackerVel:(0.00, 0.00, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:77   leftController:(0.04, 0.85, -0.30)  rightController:(0.37, 0.91, -0.28)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.73, -0.43)  leftControllerVel:(-0.16, -0.78, -0.59)  rightControllerVel:(0.20, -1.09, -0.55)  leftTrackerVel:(0.00, 0.00, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:107   leftController:(0.03, 0.83, -0.32)  rightController:(0.37, 0.88, -0.30)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.73, -0.43)  leftControllerVel:(-0.17, -0.68, -0.66)  rightControllerVel:(0.28, -0.96, -0.59)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:122   leftController:(0.03, 0.82, -0.33)  rightController:(0.38, 0.87, -0.31)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.73, -0.43)  leftControllerVel:(-0.17, -0.63, -0.70)  rightControllerVel:(0.31, -0.84, -0.58)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:148   leftController:(0.02, 0.81, -0.35)  rightController:(0.39, 0.85, -0.32)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.73, -0.44)  leftControllerVel:(-0.16, -0.55, -0.73)  rightControllerVel:(0.31, -0.65, -0.54)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:167   leftController:(0.02, 0.80, -0.36)  rightController:(0.39, 0.84, -0.34)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.73, -0.44)  leftControllerVel:(-0.16, -0.47, -0.72)  rightControllerVel:(0.28, -0.58, -0.54)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:189   leftController:(0.02, 0.79, -0.38)  rightController:(0.40, 0.83, -0.35)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.15, -0.39, -0.69)  rightControllerVel:(0.21, -0.51, -0.54)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:214   leftController:(0.01, 0.78, -0.39)  rightController:(0.40, 0.82, -0.36)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.16, -0.27, -0.58)  rightControllerVel:(0.15, -0.46, -0.54)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:224   leftController:(0.01, 0.78, -0.40)  rightController:(0.40, 0.82, -0.36)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.18, -0.24, -0.53)  rightControllerVel:(0.13, -0.40, -0.50)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:238   leftController:(0.01, 0.77, -0.41)  rightController:(0.40, 0.81, -0.37)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.20, -0.20, -0.47)  rightControllerVel:(0.18, -0.36, -0.46)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 19:39:52:255   leftController:(0.00, 0.77, -0.41)  rightController:(0.41, 0.81, -0.38)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.21, -0.14, -0.38)  rightControllerVel:(0.21, -0.27, -0.36)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 19:39:52:266   leftController:(0.00, 0.77, -0.41)  rightController:(0.41, 0.80, -0.38)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.23, -0.09, -0.24)  rightControllerVel:(0.23, -0.20, -0.31)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 19:39:52:276   leftController:(0.00, 0.77, -0.42)  rightController:(0.41, 0.80, -0.38)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.25, -0.06, -0.17)  rightControllerVel:(0.24, -0.18, -0.30)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:288   leftController:(0.00, 0.77, -0.42)  rightController:(0.42, 0.80, -0.39)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.27, -0.02, -0.06)  rightControllerVel:(0.23, -0.18, -0.29)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:301   leftController:(-0.01, 0.77, -0.42)  rightController:(0.42, 0.80, -0.39)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.28, 0.03, 0.05)  rightControllerVel:(0.22, -0.17, -0.27)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:311   leftController:(-0.01, 0.77, -0.41)  rightController:(0.42, 0.80, -0.39)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.27, 0.06, 0.09)  rightControllerVel:(0.24, -0.14, -0.23)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:321   leftController:(-0.01, 0.77, -0.41)  rightController:(0.42, 0.80, -0.39)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.26, 0.07, 0.10)  rightControllerVel:(0.25, -0.13, -0.21)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:333   leftController:(-0.02, 0.77, -0.41)  rightController:(0.43, 0.79, -0.40)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.22, 0.09, 0.13)  rightControllerVel:(0.25, -0.11, -0.21)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:344   leftController:(-0.02, 0.78, -0.41)  rightController:(0.43, 0.79, -0.40)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.19, 0.10, 0.13)  rightControllerVel:(0.23, -0.11, -0.20)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:353   leftController:(-0.02, 0.78, -0.41)  rightController:(0.43, 0.79, -0.40)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.17, 0.10, 0.13)  rightControllerVel:(0.22, -0.11, -0.20)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:362   leftController:(-0.02, 0.78, -0.41)  rightController:(0.43, 0.79, -0.40)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.15, 0.10, 0.12)  rightControllerVel:(0.20, -0.11, -0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:371   leftController:(-0.02, 0.78, -0.41)  rightController:(0.43, 0.79, -0.40)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.13, 0.09, 0.11)  rightControllerVel:(0.18, -0.11, -0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:380   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.79, -0.41)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.11, 0.09, 0.10)  rightControllerVel:(0.14, -0.11, -0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:393   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.79, -0.41)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(-0.08, 0.07, 0.09)  rightControllerVel:(0.11, -0.10, -0.20)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:408   leftController:(-0.02, 0.78, -0.40)  rightController:(0.44, 0.79, -0.41)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.45)  leftControllerVel:(-0.05, 0.04, 0.06)  rightControllerVel:(0.07, -0.09, -0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
