2021.4.10 10:08:52:939   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:951   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, -0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:964   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:974   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:989   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:998   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:09   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:18   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(0.01, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:29   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.02, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:39   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.02, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:52   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.03, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:63   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.03, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:73   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.02, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:85   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.24, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.02, -0.07, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:96   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.02, -0.07, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:108   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, -0.07, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:118   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.02, -0.07, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:130   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.02, -0.07, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:145   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(0.02, -0.07, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:156   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(0.02, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:166   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(0.01, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:175   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(0.02, -0.09, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
