2021.4.10 19:15:33:820   leftController:(-0.23, 0.88, -0.47)  rightController:(0.08, 0.90, -0.44)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.25, -0.52)  headset:(-0.02, 1.59, -0.61)  leftControllerVel:(-0.19, -0.11, -0.11)  rightControllerVel:(-0.29, -0.05, -0.30)  leftTrackerVel:(-0.03, -0.01, -0.03)  rightTrackerVel:(-0.04, 0.01, 0.03)
2021.4.10 19:15:33:828   leftController:(-0.23, 0.88, -0.47)  rightController:(0.08, 0.90, -0.45)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.08, 0.25, -0.52)  headset:(-0.02, 1.59, -0.61)  leftControllerVel:(-0.18, -0.11, -0.11)  rightControllerVel:(-0.32, 0.06, -0.34)  leftTrackerVel:(-0.03, -0.02, -0.03)  rightTrackerVel:(-0.04, 0.02, 0.03)
2021.4.10 19:15:33:859   leftController:(-0.23, 0.88, -0.47)  rightController:(0.07, 0.91, -0.46)  leftTracker:(-0.13, 0.21, -0.76)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.03, 1.59, -0.61)  leftControllerVel:(-0.15, -0.11, -0.10)  rightControllerVel:(-0.38, 0.16, -0.38)  leftTrackerVel:(-0.02, -0.02, -0.02)  rightTrackerVel:(-0.03, 0.01, 0.02)
2021.4.10 19:15:33:878   leftController:(-0.24, 0.88, -0.48)  rightController:(0.06, 0.91, -0.46)  leftTracker:(-0.13, 0.21, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.03, 1.59, -0.61)  leftControllerVel:(-0.13, -0.10, -0.10)  rightControllerVel:(-0.29, 0.12, -0.35)  leftTrackerVel:(-0.03, -0.02, -0.02)  rightTrackerVel:(-0.02, 0.02, 0.02)
2021.4.10 19:15:33:888   leftController:(-0.24, 0.87, -0.48)  rightController:(0.06, 0.91, -0.47)  leftTracker:(-0.13, 0.21, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.03, 1.59, -0.61)  leftControllerVel:(-0.13, -0.10, -0.10)  rightControllerVel:(-0.22, 0.10, -0.32)  leftTrackerVel:(-0.03, -0.02, -0.02)  rightTrackerVel:(-0.01, 0.02, 0.02)
2021.4.10 19:15:33:897   leftController:(-0.24, 0.87, -0.48)  rightController:(0.06, 0.91, -0.47)  leftTracker:(-0.13, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.03, 1.58, -0.62)  leftControllerVel:(-0.13, -0.10, -0.09)  rightControllerVel:(-0.05, 0.05, -0.26)  leftTrackerVel:(-0.03, -0.02, -0.02)  rightTrackerVel:(0.00, 0.02, 0.02)
2021.4.10 19:15:33:906   leftController:(-0.24, 0.87, -0.48)  rightController:(0.06, 0.91, -0.47)  leftTracker:(-0.13, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.04, 1.58, -0.62)  leftControllerVel:(-0.12, -0.09, -0.09)  rightControllerVel:(0.01, 0.03, -0.23)  leftTrackerVel:(-0.03, -0.02, -0.02)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.10 19:15:33:915   leftController:(-0.24, 0.87, -0.48)  rightController:(0.06, 0.91, -0.47)  leftTracker:(-0.13, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.04, 1.58, -0.62)  leftControllerVel:(-0.12, -0.09, -0.08)  rightControllerVel:(0.20, -0.05, -0.15)  leftTrackerVel:(-0.03, -0.02, -0.02)  rightTrackerVel:(0.01, 0.02, 0.01)
2021.4.10 19:15:33:925   leftController:(-0.24, 0.87, -0.48)  rightController:(0.07, 0.91, -0.47)  leftTracker:(-0.13, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.04, 1.58, -0.62)  leftControllerVel:(-0.11, -0.08, -0.07)  rightControllerVel:(0.34, -0.13, -0.10)  leftTrackerVel:(-0.02, -0.02, -0.02)  rightTrackerVel:(0.01, 0.02, 0.01)
2021.4.10 19:15:33:947   leftController:(-0.25, 0.87, -0.48)  rightController:(0.08, 0.91, -0.47)  leftTracker:(-0.13, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.04, 1.58, -0.62)  leftControllerVel:(-0.10, -0.06, -0.06)  rightControllerVel:(0.69, -0.27, -0.04)  leftTrackerVel:(-0.02, -0.02, -0.02)  rightTrackerVel:(0.01, 0.02, 0.00)
2021.4.10 19:15:33:959   leftController:(-0.25, 0.87, -0.48)  rightController:(0.09, 0.90, -0.47)  leftTracker:(-0.13, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.05, 1.58, -0.62)  leftControllerVel:(-0.10, -0.06, -0.06)  rightControllerVel:(0.79, -0.35, -0.05)  leftTrackerVel:(-0.02, -0.02, -0.01)  rightTrackerVel:(0.01, 0.02, -0.01)
2021.4.10 19:15:33:968   leftController:(-0.25, 0.87, -0.48)  rightController:(0.10, 0.90, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.05, 1.58, -0.63)  leftControllerVel:(-0.09, -0.05, -0.05)  rightControllerVel:(0.88, -0.43, -0.11)  leftTrackerVel:(-0.01, -0.02, -0.01)  rightTrackerVel:(0.01, 0.02, -0.01)
