2021.4.10 20:31:29:213   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:222   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:233   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 20:31:29:244   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 20:31:29:256   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:267   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(-0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:279   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:290   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:310   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.20, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:320   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.20, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:329   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.20, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:338   leftController:(0.28, 1.24, -0.06)  rightController:(0.44, 1.20, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(-0.01, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:349   leftController:(0.28, 1.24, -0.06)  rightController:(0.44, 1.20, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(-0.02, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:361   leftController:(0.28, 1.24, -0.06)  rightController:(0.44, 1.20, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(-0.02, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
