2021.4.10 11:19:33:913   leftController:(0.38, 1.21, -0.29)  rightController:(0.56, 1.22, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.04, -0.01, -0.02)  rightControllerVel:(0.17, -0.23, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:926   leftController:(0.38, 1.21, -0.30)  rightController:(0.56, 1.21, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.04, -0.01, -0.02)  rightControllerVel:(0.18, -0.23, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:935   leftController:(0.38, 1.21, -0.30)  rightController:(0.56, 1.21, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.04, -0.02, -0.02)  rightControllerVel:(0.19, -0.23, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:945   leftController:(0.38, 1.21, -0.30)  rightController:(0.57, 1.21, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.04, -0.02, -0.02)  rightControllerVel:(0.19, -0.22, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:957   leftController:(0.38, 1.21, -0.30)  rightController:(0.57, 1.21, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.02)  rightControllerVel:(0.19, -0.21, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:19:33:969   leftController:(0.38, 1.21, -0.30)  rightController:(0.57, 1.20, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.02)  rightControllerVel:(0.18, -0.19, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 11:19:33:979   leftController:(0.38, 1.21, -0.30)  rightController:(0.57, 1.20, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.03, -0.02, -0.02)  rightControllerVel:(0.17, -0.18, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 11:19:33:990   leftController:(0.38, 1.21, -0.30)  rightController:(0.57, 1.20, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.02, -0.02, -0.02)  rightControllerVel:(0.15, -0.16, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:34:01   leftController:(0.38, 1.21, -0.30)  rightController:(0.58, 1.20, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.02, -0.02, -0.02)  rightControllerVel:(0.13, -0.13, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 11:19:34:22   leftController:(0.38, 1.21, -0.30)  rightController:(0.58, 1.20, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(0.10, -0.08, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 11:19:34:33   leftController:(0.38, 1.21, -0.30)  rightController:(0.58, 1.20, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.09, -0.05, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:34:43   leftController:(0.38, 1.21, -0.30)  rightController:(0.58, 1.20, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.42, 1.70, -0.52)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.08, -0.04, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
