2021.4.10 19:34:43:562   leftController:(0.28, 1.27, -0.13)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.09, -0.04, -0.07)  rightControllerVel:(0.06, 0.05, 0.06)  leftTrackerVel:(0.01, 0.00, 0.02)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:572   leftController:(0.28, 1.27, -0.13)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.09, -0.02, -0.07)  rightControllerVel:(0.05, 0.04, 0.07)  leftTrackerVel:(0.01, 0.00, 0.02)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:585   leftController:(0.28, 1.27, -0.14)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.09, 0.00, -0.07)  rightControllerVel:(0.05, 0.03, 0.08)  leftTrackerVel:(0.01, 0.00, 0.02)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:593   leftController:(0.28, 1.27, -0.14)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.08, 0.01, -0.07)  rightControllerVel:(0.06, 0.03, 0.08)  leftTrackerVel:(0.01, 0.00, 0.02)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:602   leftController:(0.28, 1.27, -0.14)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.08, 0.03, -0.07)  rightControllerVel:(0.06, 0.03, 0.09)  leftTrackerVel:(0.01, 0.00, 0.02)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:612   leftController:(0.28, 1.27, -0.14)  rightController:(0.58, 1.20, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.72, -0.39)  leftControllerVel:(0.07, 0.05, -0.07)  rightControllerVel:(0.07, 0.04, 0.10)  leftTrackerVel:(0.01, 0.00, 0.02)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:624   leftController:(0.29, 1.27, -0.14)  rightController:(0.58, 1.20, -0.16)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.39)  leftControllerVel:(0.07, 0.06, -0.07)  rightControllerVel:(0.07, 0.04, 0.11)  leftTrackerVel:(0.01, 0.00, 0.02)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:637   leftController:(0.29, 1.27, -0.14)  rightController:(0.58, 1.21, -0.16)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.39)  leftControllerVel:(0.06, 0.07, -0.06)  rightControllerVel:(0.07, 0.04, 0.12)  leftTrackerVel:(0.01, 0.00, 0.03)  rightTrackerVel:(0.01, -0.01, -0.01)
2021.4.10 19:34:43:646   leftController:(0.29, 1.27, -0.14)  rightController:(0.59, 1.21, -0.16)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.39)  leftControllerVel:(0.06, 0.08, -0.06)  rightControllerVel:(0.06, 0.04, 0.12)  leftTrackerVel:(0.01, 0.00, 0.03)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:657   leftController:(0.29, 1.27, -0.14)  rightController:(0.59, 1.21, -0.16)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.39)  leftControllerVel:(0.06, 0.08, -0.05)  rightControllerVel:(0.06, 0.04, 0.13)  leftTrackerVel:(0.00, 0.00, 0.03)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:669   leftController:(0.29, 1.27, -0.14)  rightController:(0.59, 1.21, -0.16)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.38)  leftControllerVel:(0.06, 0.08, -0.04)  rightControllerVel:(0.07, 0.06, 0.14)  leftTrackerVel:(0.00, 0.00, 0.03)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:683   leftController:(0.29, 1.27, -0.14)  rightController:(0.59, 1.21, -0.16)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.38)  leftControllerVel:(0.07, 0.06, -0.03)  rightControllerVel:(0.07, 0.07, 0.15)  leftTrackerVel:(0.00, 0.00, 0.03)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:698   leftController:(0.29, 1.27, -0.14)  rightController:(0.59, 1.21, -0.15)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.38)  leftControllerVel:(0.08, 0.05, -0.01)  rightControllerVel:(0.06, 0.09, 0.16)  leftTrackerVel:(0.00, 0.00, 0.03)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:711   leftController:(0.29, 1.27, -0.14)  rightController:(0.59, 1.21, -0.15)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.38)  leftControllerVel:(0.10, 0.03, 0.00)  rightControllerVel:(0.05, 0.10, 0.17)  leftTrackerVel:(0.00, 0.00, 0.03)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.10 19:34:43:721   leftController:(0.29, 1.27, -0.14)  rightController:(0.59, 1.21, -0.15)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.38)  leftControllerVel:(0.11, 0.02, 0.02)  rightControllerVel:(0.03, 0.11, 0.18)  leftTrackerVel:(0.00, 0.01, 0.03)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.10 19:34:43:734   leftController:(0.29, 1.27, -0.14)  rightController:(0.59, 1.21, -0.15)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.43, 1.72, -0.38)  leftControllerVel:(0.12, 0.01, 0.04)  rightControllerVel:(0.02, 0.13, 0.20)  leftTrackerVel:(-0.01, 0.01, 0.02)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.10 19:34:43:747   leftController:(0.30, 1.27, -0.14)  rightController:(0.59, 1.22, -0.14)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.72, -0.38)  leftControllerVel:(0.11, 0.01, 0.06)  rightControllerVel:(0.02, 0.15, 0.20)  leftTrackerVel:(-0.01, 0.01, 0.02)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:757   leftController:(0.30, 1.27, -0.14)  rightController:(0.59, 1.22, -0.14)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.72, -0.38)  leftControllerVel:(0.09, 0.01, 0.07)  rightControllerVel:(0.01, 0.17, 0.20)  leftTrackerVel:(-0.01, 0.01, 0.02)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:768   leftController:(0.30, 1.27, -0.14)  rightController:(0.59, 1.22, -0.14)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.72, -0.38)  leftControllerVel:(0.07, 0.01, 0.07)  rightControllerVel:(0.00, 0.19, 0.21)  leftTrackerVel:(-0.02, 0.02, 0.02)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:34:43:781   leftController:(0.30, 1.27, -0.14)  rightController:(0.59, 1.22, -0.14)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.72, -0.38)  leftControllerVel:(0.05, 0.00, 0.08)  rightControllerVel:(0.00, 0.21, 0.21)  leftTrackerVel:(-0.02, 0.02, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:791   leftController:(0.30, 1.27, -0.14)  rightController:(0.59, 1.22, -0.14)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.72, -0.38)  leftControllerVel:(0.03, -0.01, 0.09)  rightControllerVel:(-0.01, 0.22, 0.21)  leftTrackerVel:(-0.02, 0.02, 0.02)  rightTrackerVel:(0.01, -0.01, -0.01)
2021.4.10 19:34:43:801   leftController:(0.30, 1.27, -0.13)  rightController:(0.59, 1.23, -0.13)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.72, -0.38)  leftControllerVel:(0.01, -0.02, 0.10)  rightControllerVel:(-0.02, 0.23, 0.21)  leftTrackerVel:(-0.02, 0.02, 0.02)  rightTrackerVel:(0.01, -0.01, -0.01)
2021.4.10 19:34:43:813   leftController:(0.30, 1.27, -0.13)  rightController:(0.59, 1.23, -0.13)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.72, -0.38)  leftControllerVel:(0.00, -0.03, 0.11)  rightControllerVel:(-0.04, 0.24, 0.21)  leftTrackerVel:(-0.02, 0.02, 0.02)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.10 19:34:43:826   leftController:(0.30, 1.27, -0.13)  rightController:(0.59, 1.23, -0.13)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.72, -0.38)  leftControllerVel:(-0.03, -0.03, 0.12)  rightControllerVel:(-0.05, 0.25, 0.20)  leftTrackerVel:(-0.02, 0.02, 0.02)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 19:34:43:835   leftController:(0.30, 1.27, -0.13)  rightController:(0.59, 1.24, -0.13)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.72, -0.38)  leftControllerVel:(-0.04, -0.02, 0.12)  rightControllerVel:(-0.06, 0.25, 0.20)  leftTrackerVel:(-0.02, 0.02, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
