2021.4.10 20:34:00:114   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.01, -0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:34:00:137   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:34:00:160   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.01, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:188   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.01, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:204   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.02, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.10 20:34:00:226   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.25, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.02, 0.02)  rightControllerVel:(0.02, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:249   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.24, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.02, 0.02)  rightControllerVel:(0.02, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:271   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.24, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.02, -0.10, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:293   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.24, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.02, -0.13, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:304   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.24, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.01, -0.17, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:315   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.23, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.00, -0.21, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:334   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.23, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.00, -0.26, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:344   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.23, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.00, -0.28, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:360   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.22, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.01, -0.32, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
