2021.4.10 20:10:02:787   leftController:(-0.28, 1.05, 0.13)  rightController:(0.01, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.11, 1.57, -0.16)  leftControllerVel:(-0.15, -0.12, -0.01)  rightControllerVel:(-0.18, -0.09, -0.03)  leftTrackerVel:(-0.04, 0.00, -0.01)  rightTrackerVel:(-0.03, 0.00, 0.03)
2021.4.10 20:10:02:799   leftController:(-0.28, 1.05, 0.13)  rightController:(0.01, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.11, 1.57, -0.16)  leftControllerVel:(-0.14, -0.13, -0.01)  rightControllerVel:(-0.18, -0.11, -0.03)  leftTrackerVel:(-0.03, 0.00, -0.02)  rightTrackerVel:(-0.03, 0.00, 0.03)
2021.4.10 20:10:02:812   leftController:(-0.29, 1.04, 0.13)  rightController:(0.00, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.11, 1.57, -0.16)  leftControllerVel:(-0.12, -0.16, -0.01)  rightControllerVel:(-0.18, -0.13, -0.03)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.00, 0.03)
2021.4.10 20:10:02:822   leftController:(-0.29, 1.04, 0.13)  rightController:(0.00, 1.00, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.11, 1.57, -0.16)  leftControllerVel:(-0.11, -0.18, -0.01)  rightControllerVel:(-0.18, -0.17, -0.03)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.00, 0.03)
2021.4.10 20:10:02:832   leftController:(-0.29, 1.04, 0.13)  rightController:(0.00, 0.99, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.12, 1.57, -0.16)  leftControllerVel:(-0.08, -0.21, -0.02)  rightControllerVel:(-0.18, -0.19, -0.03)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.00, 0.03)
2021.4.10 20:10:02:845   leftController:(-0.29, 1.04, 0.13)  rightController:(0.00, 0.99, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.12, 1.57, -0.16)  leftControllerVel:(-0.06, -0.23, -0.03)  rightControllerVel:(-0.18, -0.23, -0.04)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.00, 0.03)
2021.4.10 20:10:02:856   leftController:(-0.29, 1.03, 0.13)  rightController:(0.00, 0.99, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.12, 1.57, -0.16)  leftControllerVel:(-0.03, -0.25, -0.05)  rightControllerVel:(-0.17, -0.28, -0.04)  leftTrackerVel:(-0.02, -0.01, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.04)
2021.4.10 20:10:02:866   leftController:(-0.29, 1.03, 0.13)  rightController:(-0.01, 0.98, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.13, 1.57, -0.16)  leftControllerVel:(-0.01, -0.28, -0.05)  rightControllerVel:(-0.16, -0.33, -0.04)  leftTrackerVel:(-0.02, -0.01, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.04)
2021.4.10 20:10:02:877   leftController:(-0.29, 1.03, 0.13)  rightController:(-0.01, 0.98, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.13, 1.57, -0.16)  leftControllerVel:(0.01, -0.33, -0.07)  rightControllerVel:(-0.15, -0.36, -0.04)  leftTrackerVel:(-0.03, -0.01, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.05)
2021.4.10 20:10:02:896   leftController:(-0.29, 1.02, 0.13)  rightController:(-0.01, 0.97, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.23)  headset:(-0.13, 1.57, -0.15)  leftControllerVel:(0.04, -0.39, -0.09)  rightControllerVel:(-0.11, -0.43, -0.05)  leftTrackerVel:(-0.04, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.01, 0.08)
2021.4.10 20:10:02:908   leftController:(-0.29, 1.01, 0.12)  rightController:(-0.01, 0.97, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.14, 1.57, -0.15)  leftControllerVel:(0.05, -0.44, -0.13)  rightControllerVel:(-0.07, -0.45, -0.07)  leftTrackerVel:(-0.04, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.02, 0.07)
2021.4.10 20:10:02:919   leftController:(-0.28, 1.01, 0.12)  rightController:(-0.01, 0.96, 0.09)  leftTracker:(-0.21, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.14, 1.57, -0.15)  leftControllerVel:(0.09, -0.46, -0.14)  rightControllerVel:(-0.02, -0.47, -0.08)  leftTrackerVel:(-0.04, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.02, 0.06)
2021.4.10 20:10:02:929   leftController:(-0.28, 1.00, 0.12)  rightController:(-0.01, 0.96, 0.08)  leftTracker:(-0.22, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.14, 1.57, -0.15)  leftControllerVel:(0.12, -0.50, -0.10)  rightControllerVel:(0.00, -0.48, -0.10)  leftTrackerVel:(-0.04, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.03, 0.05)
2021.4.10 20:10:02:940   leftController:(-0.28, 1.00, 0.12)  rightController:(-0.01, 0.95, 0.08)  leftTracker:(-0.22, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.15, 1.57, -0.15)  leftControllerVel:(0.10, -0.51, -0.10)  rightControllerVel:(0.02, -0.50, -0.11)  leftTrackerVel:(-0.04, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.05, 0.03)
2021.4.10 20:10:02:953   leftController:(-0.28, 0.99, 0.12)  rightController:(-0.01, 0.94, 0.08)  leftTracker:(-0.22, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.15, 1.57, -0.15)  leftControllerVel:(0.04, -0.49, -0.12)  rightControllerVel:(0.03, -0.51, -0.11)  leftTrackerVel:(-0.04, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.06, 0.01)
2021.4.10 20:10:02:962   leftController:(-0.28, 0.99, 0.12)  rightController:(-0.01, 0.94, 0.08)  leftTracker:(-0.22, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.22)  headset:(-0.15, 1.57, -0.15)  leftControllerVel:(-0.01, -0.47, -0.16)  rightControllerVel:(0.03, -0.51, -0.11)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.01, 0.06, 0.00)
2021.4.10 20:10:02:971   leftController:(-0.28, 0.98, 0.12)  rightController:(-0.01, 0.94, 0.08)  leftTracker:(-0.22, 0.22, -0.19)  rightTracker:(0.04, 0.20, -0.21)  headset:(-0.15, 1.57, -0.15)  leftControllerVel:(-0.02, -0.47, -0.16)  rightControllerVel:(0.02, -0.48, -0.12)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.01, 0.06, -0.01)
2021.4.10 20:10:02:980   leftController:(-0.28, 0.98, 0.11)  rightController:(-0.01, 0.93, 0.08)  leftTracker:(-0.22, 0.21, -0.19)  rightTracker:(0.04, 0.20, -0.21)  headset:(-0.15, 1.57, -0.15)  leftControllerVel:(-0.04, -0.48, -0.19)  rightControllerVel:(0.01, -0.46, -0.13)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.02, 0.05, -0.01)
2021.4.10 20:10:02:989   leftController:(-0.28, 0.98, 0.11)  rightController:(-0.01, 0.93, 0.08)  leftTracker:(-0.22, 0.21, -0.19)  rightTracker:(0.04, 0.20, -0.21)  headset:(-0.16, 1.57, -0.15)  leftControllerVel:(-0.05, -0.49, -0.19)  rightControllerVel:(0.01, -0.44, -0.13)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.03, 0.05, -0.01)
2021.4.10 20:10:03:01   leftController:(-0.28, 0.97, 0.11)  rightController:(-0.01, 0.92, 0.08)  leftTracker:(-0.22, 0.21, -0.19)  rightTracker:(0.04, 0.20, -0.21)  headset:(-0.16, 1.57, -0.15)  leftControllerVel:(-0.04, -0.51, -0.19)  rightControllerVel:(0.02, -0.41, -0.16)  leftTrackerVel:(-0.03, 0.00, -0.02)  rightTrackerVel:(-0.04, 0.05, -0.01)
2021.4.10 20:10:03:11   leftController:(-0.28, 0.96, 0.11)  rightController:(-0.01, 0.92, 0.07)  leftTracker:(-0.22, 0.21, -0.20)  rightTracker:(0.04, 0.20, -0.21)  headset:(-0.16, 1.57, -0.15)  leftControllerVel:(-0.03, -0.53, -0.20)  rightControllerVel:(0.02, -0.40, -0.18)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.05, 0.05, -0.01)
2021.4.10 20:10:03:23   leftController:(-0.28, 0.96, 0.11)  rightController:(-0.01, 0.91, 0.07)  leftTracker:(-0.22, 0.21, -0.20)  rightTracker:(0.04, 0.20, -0.21)  headset:(-0.16, 1.57, -0.15)  leftControllerVel:(0.00, -0.56, -0.21)  rightControllerVel:(0.03, -0.40, -0.21)  leftTrackerVel:(-0.03, -0.01, -0.02)  rightTrackerVel:(-0.07, 0.05, -0.02)
