2021.4.10 20:36:30:796   leftController:(-0.03, 1.01, -0.17)  rightController:(0.23, 1.12, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.00, 0.18, 0.05)  rightControllerVel:(0.11, -0.34, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:817   leftController:(-0.03, 1.01, -0.17)  rightController:(0.23, 1.12, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.00, 0.17, 0.05)  rightControllerVel:(0.09, -0.27, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:840   leftController:(-0.03, 1.01, -0.17)  rightController:(0.24, 1.11, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.00, 0.15, 0.04)  rightControllerVel:(0.06, -0.21, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:862   leftController:(-0.03, 1.02, -0.17)  rightController:(0.24, 1.11, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.01, 0.13, 0.03)  rightControllerVel:(0.03, -0.18, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:880   leftController:(-0.03, 1.02, -0.17)  rightController:(0.24, 1.11, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.01, 0.13, 0.01)  rightControllerVel:(0.01, -0.17, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:889   leftController:(-0.03, 1.02, -0.17)  rightController:(0.24, 1.11, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.01, 0.12, 0.01)  rightControllerVel:(0.00, -0.16, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:901   leftController:(-0.03, 1.02, -0.17)  rightController:(0.24, 1.10, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.01, 0.12, 0.01)  rightControllerVel:(-0.01, -0.16, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:911   leftController:(-0.03, 1.02, -0.17)  rightController:(0.24, 1.10, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.02, 0.11, 0.01)  rightControllerVel:(-0.02, -0.17, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:921   leftController:(-0.03, 1.02, -0.17)  rightController:(0.24, 1.10, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.04, 0.10, 0.01)  rightControllerVel:(-0.02, -0.16, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:933   leftController:(-0.03, 1.02, -0.17)  rightController:(0.24, 1.10, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.04, 0.10, 0.01)  rightControllerVel:(-0.02, -0.16, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:942   leftController:(-0.03, 1.02, -0.17)  rightController:(0.24, 1.10, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.04, 0.09, 0.01)  rightControllerVel:(-0.02, -0.15, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:952   leftController:(-0.03, 1.03, -0.17)  rightController:(0.24, 1.10, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.03, 0.07, 0.00)  rightControllerVel:(-0.02, -0.15, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:962   leftController:(-0.03, 1.03, -0.17)  rightController:(0.24, 1.09, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.03, 0.06, 0.00)  rightControllerVel:(-0.02, -0.15, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:973   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.09, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.02, 0.05, 0.00)  rightControllerVel:(-0.03, -0.14, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:987   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.09, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.03, 0.04, 0.00)  rightControllerVel:(-0.03, -0.13, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:996   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.09, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.03, 0.03, 0.00)  rightControllerVel:(-0.04, -0.12, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:31:07   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.09, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.03, 0.03, 0.00)  rightControllerVel:(-0.05, -0.12, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:31:20   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.09, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.03, 0.03, 0.00)  rightControllerVel:(-0.05, -0.11, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:31:40   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.09, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.02, 0.05, 0.00)  rightControllerVel:(-0.05, -0.09, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:31:50   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.08, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.02, 0.05, 0.00)  rightControllerVel:(-0.04, -0.08, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:31:59   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.08, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.02, 0.07, 0.00)  rightControllerVel:(-0.04, -0.07, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:31:68   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.08, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.01, 0.07, 0.00)  rightControllerVel:(-0.03, -0.06, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:31:81   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.08, -0.13)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(0.01, 0.09, 0.01)  rightControllerVel:(-0.02, -0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:31:95   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.08, -0.13)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.01, 0.11, 0.01)  rightControllerVel:(-0.01, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:31:105   leftController:(-0.03, 1.03, -0.17)  rightController:(0.23, 1.08, -0.13)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.13, 1.62, -0.36)  leftControllerVel:(-0.01, 0.12, 0.01)  rightControllerVel:(-0.01, 0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
