2021.4.10 20:07:29:550   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(0.02, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:561   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(0.02, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:575   leftController:(0.33, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.02, -0.05, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:583   leftController:(0.33, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, -0.07, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:594   leftController:(0.33, 0.66, -0.58)  rightController:(0.59, 1.04, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, -0.08, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:605   leftController:(0.33, 0.66, -0.58)  rightController:(0.59, 1.04, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.09, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:616   leftController:(0.33, 0.66, -0.58)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.72)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(-0.01, -0.10, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:627   leftController:(0.33, 0.66, -0.58)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.72)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(-0.02, -0.11, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:641   leftController:(0.33, 0.66, -0.58)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(-0.03, -0.11, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:650   leftController:(0.33, 0.66, -0.58)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(-0.03, -0.11, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:662   leftController:(0.33, 0.66, -0.59)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.02, -0.02, -0.02)  rightControllerVel:(-0.03, -0.09, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:672   leftController:(0.33, 0.66, -0.59)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.02, -0.02, -0.01)  rightControllerVel:(-0.03, -0.06, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:688   leftController:(0.33, 0.66, -0.59)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(-0.02, -0.02, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:698   leftController:(0.33, 0.65, -0.59)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.03, -0.01, 0.00)  rightControllerVel:(-0.02, 0.00, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
