2021.4.10 19:37:22:681   leftController:(0.19, 1.24, -0.20)  rightController:(0.50, 1.22, -0.21)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.06, 0.10, 0.04)  rightControllerVel:(-0.01, 0.06, 0.09)  leftTrackerVel:(0.00, -0.01, 0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:695   leftController:(0.20, 1.24, -0.20)  rightController:(0.50, 1.22, -0.21)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.09, 0.10, 0.05)  rightControllerVel:(0.00, 0.07, 0.10)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:718   leftController:(0.20, 1.24, -0.20)  rightController:(0.50, 1.22, -0.21)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.09, 0.09, 0.08)  rightControllerVel:(-0.02, 0.08, 0.11)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:728   leftController:(0.20, 1.24, -0.20)  rightController:(0.50, 1.22, -0.21)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.09, 0.09, 0.08)  rightControllerVel:(-0.04, 0.09, 0.12)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:737   leftController:(0.20, 1.24, -0.20)  rightController:(0.50, 1.22, -0.21)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.07, 0.08, 0.08)  rightControllerVel:(-0.06, 0.11, 0.12)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:746   leftController:(0.20, 1.24, -0.20)  rightController:(0.50, 1.23, -0.21)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.06, 0.07, 0.09)  rightControllerVel:(-0.06, 0.12, 0.13)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:755   leftController:(0.20, 1.24, -0.20)  rightController:(0.49, 1.23, -0.20)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.04, 0.06, 0.09)  rightControllerVel:(-0.05, 0.13, 0.14)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:764   leftController:(0.20, 1.24, -0.20)  rightController:(0.49, 1.23, -0.20)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.03, 0.06, 0.09)  rightControllerVel:(-0.04, 0.14, 0.14)  leftTrackerVel:(0.00, 0.00, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:774   leftController:(0.20, 1.24, -0.19)  rightController:(0.49, 1.23, -0.20)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.00, 0.05, 0.09)  rightControllerVel:(-0.01, 0.15, 0.14)  leftTrackerVel:(0.00, 0.00, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:784   leftController:(0.20, 1.25, -0.19)  rightController:(0.49, 1.23, -0.20)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(-0.02, 0.06, 0.08)  rightControllerVel:(0.00, 0.15, 0.14)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:796   leftController:(0.20, 1.25, -0.19)  rightController:(0.49, 1.23, -0.20)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(-0.03, 0.06, 0.08)  rightControllerVel:(0.01, 0.15, 0.14)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:809   leftController:(0.20, 1.25, -0.19)  rightController:(0.49, 1.24, -0.20)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(-0.02, 0.05, 0.07)  rightControllerVel:(0.00, 0.13, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:819   leftController:(0.20, 1.25, -0.19)  rightController:(0.49, 1.24, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(-0.01, 0.04, 0.07)  rightControllerVel:(-0.02, 0.13, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:828   leftController:(0.20, 1.25, -0.19)  rightController:(0.49, 1.24, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.46)  leftControllerVel:(0.00, 0.03, 0.08)  rightControllerVel:(-0.03, 0.13, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:840   leftController:(0.20, 1.25, -0.19)  rightController:(0.49, 1.24, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(0.02, 0.01, 0.08)  rightControllerVel:(-0.03, 0.13, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
