2021.4.10 19:09:07:680   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.98, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.03, 0.16, 0.01)  rightControllerVel:(0.00, -0.09, -0.05)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:689   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.03, 0.15, 0.01)  rightControllerVel:(0.00, -0.10, -0.05)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:698   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.03, 0.14, 0.01)  rightControllerVel:(-0.01, -0.13, -0.05)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:706   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.03, 0.13, 0.00)  rightControllerVel:(-0.02, -0.14, -0.05)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:719   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.02, 0.12, 0.00)  rightControllerVel:(-0.03, -0.16, -0.05)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:728   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.02, 0.11, -0.01)  rightControllerVel:(-0.03, -0.16, -0.05)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:736   leftController:(0.32, 0.99, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.02, 0.09, -0.01)  rightControllerVel:(-0.02, -0.14, -0.06)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:745   leftController:(0.33, 0.99, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.02, 0.07, -0.02)  rightControllerVel:(-0.02, -0.12, -0.06)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:755   leftController:(0.33, 0.99, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.46, 1.58, -0.70)  leftControllerVel:(0.01, 0.05, -0.02)  rightControllerVel:(-0.01, -0.09, -0.07)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.10 19:09:07:766   leftController:(0.33, 0.99, -0.49)  rightController:(0.59, 0.96, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.45, 1.58, -0.70)  leftControllerVel:(0.01, 0.01, -0.02)  rightControllerVel:(-0.01, -0.06, -0.07)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
