2021.4.10 20:12:30:931   leftController:(-0.16, 1.17, 0.36)  rightController:(0.08, 0.99, 0.39)  leftTracker:(-0.14, 0.22, 0.06)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.02, 1.58, 0.13)  leftControllerVel:(-0.55, 0.92, -0.15)  rightControllerVel:(-0.27, -0.20, -0.17)  leftTrackerVel:(-0.01, 0.00, -0.07)  rightTrackerVel:(-0.07, 0.03, 0.02)
2021.4.10 20:12:30:954   leftController:(-0.18, 1.20, 0.36)  rightController:(0.07, 0.98, 0.39)  leftTracker:(-0.14, 0.22, 0.06)  rightTracker:(0.12, 0.22, 0.11)  headset:(0.01, 1.58, 0.13)  leftControllerVel:(-0.59, 1.07, -0.20)  rightControllerVel:(-0.28, -0.18, -0.18)  leftTrackerVel:(-0.02, -0.02, -0.08)  rightTrackerVel:(-0.08, 0.02, 0.02)
2021.4.10 20:12:30:977   leftController:(-0.19, 1.22, 0.35)  rightController:(0.07, 0.98, 0.38)  leftTracker:(-0.14, 0.22, 0.06)  rightTracker:(0.12, 0.22, 0.11)  headset:(0.00, 1.58, 0.13)  leftControllerVel:(-0.63, 1.18, -0.26)  rightControllerVel:(-0.29, -0.16, -0.19)  leftTrackerVel:(-0.01, -0.01, -0.07)  rightTrackerVel:(-0.06, 0.01, 0.01)
2021.4.10 20:12:31:02   leftController:(-0.21, 1.25, 0.34)  rightController:(0.06, 0.98, 0.38)  leftTracker:(-0.14, 0.22, 0.06)  rightTracker:(0.12, 0.22, 0.11)  headset:(-0.02, 1.58, 0.12)  leftControllerVel:(-0.65, 1.24, -0.30)  rightControllerVel:(-0.30, -0.13, -0.19)  leftTrackerVel:(-0.01, 0.00, -0.07)  rightTrackerVel:(-0.04, 0.03, 0.00)
2021.4.10 20:12:31:28   leftController:(-0.22, 1.29, 0.33)  rightController:(0.05, 0.97, 0.37)  leftTracker:(-0.14, 0.22, 0.06)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.03, 1.58, 0.12)  leftControllerVel:(-0.63, 1.28, -0.37)  rightControllerVel:(-0.30, -0.10, -0.19)  leftTrackerVel:(-0.04, -0.01, -0.08)  rightTrackerVel:(-0.04, 0.03, 0.00)
2021.4.10 20:12:31:44   leftController:(-0.23, 1.31, 0.33)  rightController:(0.04, 0.97, 0.37)  leftTracker:(-0.14, 0.22, 0.05)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.04, 1.58, 0.12)  leftControllerVel:(-0.58, 1.30, -0.44)  rightControllerVel:(-0.30, -0.08, -0.19)  leftTrackerVel:(-0.03, -0.01, -0.08)  rightTrackerVel:(-0.04, 0.03, 0.00)
2021.4.10 20:12:31:66   leftController:(-0.25, 1.34, 0.32)  rightController:(0.04, 0.97, 0.37)  leftTracker:(-0.14, 0.22, 0.05)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.05, 1.58, 0.12)  leftControllerVel:(-0.52, 1.30, -0.51)  rightControllerVel:(-0.31, -0.05, -0.19)  leftTrackerVel:(0.00, 0.01, -0.08)  rightTrackerVel:(-0.04, 0.02, 0.00)
2021.4.10 20:12:31:90   leftController:(-0.26, 1.37, 0.30)  rightController:(0.03, 0.97, 0.36)  leftTracker:(-0.14, 0.22, 0.05)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.06, 1.58, 0.11)  leftControllerVel:(-0.50, 1.27, -0.59)  rightControllerVel:(-0.31, -0.05, -0.18)  leftTrackerVel:(-0.02, 0.00, -0.08)  rightTrackerVel:(-0.03, 0.02, 0.00)
2021.4.10 20:12:31:111   leftController:(-0.27, 1.39, 0.29)  rightController:(0.02, 0.97, 0.36)  leftTracker:(-0.14, 0.22, 0.05)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.07, 1.58, 0.11)  leftControllerVel:(-0.50, 1.19, -0.64)  rightControllerVel:(-0.31, -0.05, -0.17)  leftTrackerVel:(-0.04, 0.00, -0.07)  rightTrackerVel:(-0.03, 0.03, -0.01)
2021.4.10 20:12:31:133   leftController:(-0.28, 1.42, 0.27)  rightController:(0.02, 0.97, 0.36)  leftTracker:(-0.14, 0.22, 0.05)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.08, 1.59, 0.11)  leftControllerVel:(-0.42, 1.05, -0.64)  rightControllerVel:(-0.30, -0.06, -0.16)  leftTrackerVel:(-0.03, 0.00, -0.07)  rightTrackerVel:(-0.02, 0.03, -0.01)
